sample	accession	genus	species	strain	Phylum	Class	Order	Family	busco_lineage	include
Acetobacter_aceti_TMW-1153	GCF_002005445.1	Acetobacter	aceti	TMW-1153	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Acetobacter_orientalis_VUB-H056-E3	GCF_965286225.1	Acetobacter	orientalis	VUB-H056-E3	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Acetobacter_oryzoeni_B6	GCF_004014775.2	Acetobacter	oryzoeni	B6	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Acetobacter_pasteurianus_CICC-22518	GCF_009914215.2	Acetobacter	pasteurianus	CICC-22518	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Acetobacter_senegalensis_108B	GCF_001499615.1	Acetobacter	senegalensis	108B	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Acetobacter_tropicalis_DMCS006	GCF_030644465.1	Acetobacter	tropicalis	DMCS006	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Achromobacter_deleyi_DSM-26072	GCF_016127315.1	Achromobacter	deleyi	DSM-26072	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	achromobacter_odb12.2	no
Agrobacterium_tumefaciens_G3-79	GCF_013318015.2	Agrobacterium	tumefaciens	G3-79	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	agrobacterium_odb12.2	yes
Bradyrhizobium_diazoefficiens_USDA-110	GCF_001642675.1	Bradyrhizobium	diazoefficiens	USDA-110	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	bradyrhizobium_odb12.2	yes
Gluconacetobacter_diazotrophicus_PA1-5	GCF_000021325.1	Gluconacetobacter	diazotrophicus	PA1-5	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Gluconacetobacter_liquefaciens_DSM-5603	GCF_003350405.1	Gluconacetobacter	liquefaciens	DSM-5603	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Gluconobacter_cerinus_BIGb0611	GCF_025961355.1	Gluconobacter	cerinus	BIGb0611	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Gluconobacter_oxydans_DSM-3504	GCF_000583855.1	Gluconobacter	oxydans	DSM-3504	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Gluconobacter_potus_VUB-H016-D1	GCF_965286395.1	Gluconobacter	potus	VUB-H016-D1	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Gluconobacter_thailandicus_HD924	GCF_008118345.1	Gluconobacter	thailandicus	HD924	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_diospyri_MI2	GCF_043995075.1	Komagataeibacter	diospyri	MI2	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_europaeus_SRCM101446	GCF_002173515.1	Komagataeibacter	europaeus	SRCM101446	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_intermedius_FM883	GCF_052445895.1	Komagataeibacter	intermedius	FM883	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_intermedius_SLAM-NK6B	GCF_049202445.1	Komagataeibacter	intermedius	SLAM-NK6B	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_kakiaceti_JCM-25156	GCF_054653735.1	Komagataeibacter	kakiaceti	JCM-25156	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_medellinensis_NBRC-3288	GCF_000182745.2	Komagataeibacter	medellinensis	NBRC-3288	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_nataicola_RZS01	GCF_002009295.1	Komagataeibacter	nataicola	RZS01	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_oboediens_NCIB-8034	GCF_029229465.1	Komagataeibacter	oboediens	NCIB-8034	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_rhaeticus_CGMCC-2955	GCF_034063025.1	Komagataeibacter	rhaeticus	CGMCC-2955	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_rhaeticus_ENS-9a1a	GCF_011611525.1	Komagataeibacter	rhaeticus	ENS-9a1a	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_rhaeticus_iGEM	<TODO: accession>	Komagataeibacter	rhaeticus	iGEM	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_saccharivorans_JH1	GCF_004348195.1	Komagataeibacter	saccharivorans	JH1	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_sucrofermentans_DSM-15973	GCF_040581405.1	Komagataeibacter	sucrofermentans	DSM-15973	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_xylinus_DSM-2325	GCF_004006375.1	Komagataeibacter	xylinus	DSM-2325	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Komagataeibacter_xylinus_E25	GCF_000550765.1	Komagataeibacter	xylinus	E25	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	yes
Lichenicola_sp_2-1	GCF_965198575.1	Lichenicola	sp	2-1	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	acetobacteraceae_odb12.2	no
